Unnamed: 0,Subject,Date Posted,Posted By (OP),Text (OP) ,Reply 1,Reply 2,Reply 3,Reply 3 Date,Conversation Duration,Total Number of Replies,MajoritySentiment,PolarityScores,PersonalScores,CompoundSentimentScore,OPSentiment,Reply1Sentiment,Reply2Sentiment,Reply3Sentiment,OPPersonal,Reply1Personal,Reply2Personal,Reply3Personal,QuestionLength
24,Medtronic 670g cgm,03-01-2018,Diabeteshealth1,Is anyone on here the Medtronic 670g with the sensor? Im asking because I will be on it soon and was wondering if you felt the cgm was accurate with the blood glucose machine? Also how many times a day do you test to see if the numbers are accurate?,"I have been using the 670g for about thirty days. You should search for the 670g as there are several threads that discuss this product.

In theory, you should only be required to do a BG test every twelves hours. However, there are situations where you need to do additional BG testing. Apparently. The FDA requires that you need to do a BG test if you remain under 120 for 2.5 hours. There also seems to be other situations for which a BG test is required to remain in auto mode. For some reason I had to do 3 BG test within an hour today.

I average 4 to 5 BG tests a day.",I have read the threads about the medtronic 670g and none of them discuss the CGM. If you care to tell me how the CGM rates with a machine test as in are they equal the majority of the time it would help me in timing when I would like to test my blood sugar versus going with what the CGM states it to be.,"I've been using the 670G for about three months, in manual mode. Generally, I test three times per day, vs. a dozen or more times per day prior to the Guardian sensor. I find it to be extremely accurate, but you need to keep in mind that it is 30 minutes or more behind your current BGL. You also need to be careful to only calibrate when your BGL is not changing rapidly.",03-03-2018,2,3,Positive,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.7303}",0.006662225183211193,0.7303,0.0,0.0,0.8126,0.2263,0.004016064257028112,0.0052173913043478265,0.009836065573770493,0.008064516129032258,1501
25,Extra Minimed enlite sensors,03/16/2018,Flyers01,What do you guys do with extra minimed pumps supplies. I have Dexcom g5 and Enlite sensors. I also have resisvors and tubbing.,I keep all my extras in case of a zombie apocalypse.,yeah not me. I always have a few boxes spares however It starts to pile up in my closet,"Selling stuff here isn't condoned. And if Insurance paid for you to use it, you selling it outright is not a good thing.

Donating it to someone would be nice. A couple of our peeps here know nice charitable organizations that would gladly take it to redistribute it to people who need it.",03/18/2018,2,3,Positive,"{'neg': 0.023, 'neu': 0.874, 'pos': 0.103, 'compound': 0.8071}",0.010830324909747292,0.8071,0.0,0.0,0.296,0.8071,0.015873015873015872,0.038461538461538464,0.022988505747126436,0.0,554
26,Hard to lose weight on the pump?,03-05-2018,millie275,Is it hard to loose weight on the pump? What adjustments need to be made to loose weight? Im guessing the basal will go down as well as total amount of bolus as you eat less? But trial and error the first time?,Hi Millie I think it depends on total dose per day.,"A pump is just a tool. Some folks gain weight, because they see a pump as an ""easy out"", and just eat more and press buttons. Some lose weight, but only because the tool gives them more control and flexibility.

One thing a pump does do is allow you to be more spontaneous regarding exercise and/or food restriction. If, for example, you suddenly decide to go for a longer walk than normal, you can cut your basal rate temporarily. And, if a more vigorous session than normal makes you even more insulin-sensitive for a while, you can also reduce or even suspend insulin delivery, rather than treating a hypo or near-hypo with carbs. Likewise, if you decide to eat less, and if it drives you low despite your best basal testing, you can also cut your basal for a while.

I've been on a pump for 5 years, and a CGM for almost 3 years, and I'm just now getting into the habit of cutting my basal if I see my Ng heading towards the low end of my range. Old habits (reaching for a small snack or swig of OJ) are hard to break.

I don't look at it as a pump helping to lose weight, so much as I look at MDI as making it very difficult. The way I see it, the pump just brings us back to a level playing field. From there, it's the same hard work as for everyone else out there. But, after years of fighting an uphill battle, it sure is nice to be fighting on that level field.","I agree with what Peter is saying. If you use your pump as an easy way to eat all and everything, then you would put on weight. Without a doubt it is easy to go for seconds with a pump as you just do some more button presses and eat away. It is also easy to reach for a snack.

However, for me the pump has helped me maintain my weight. When I first started on insulin using MDI I could not bolus small enough for what I wanted to eat, so I would end up having to eat a bit more to cover the 0.5 unit which was the smallest amount a demi-pen would allow. With my pump if I want to eat something that only requires 0.1u then that is what I have.

As Peter says the pump is just another tool for delivering your insulin and it is up to you how you are going to use it.",03-08-2018,3,16,Negative,"{'neg': 0.107, 'neu': 0.796, 'pos': 0.097, 'compound': -0.5409}",0.010429703796412181,-0.5409,-0.755,0.0,-0.9684,0.9275,0.0,0.0392156862745098,0.010218978102189781,0.01174934725848564,2397
27,Medtronic's Priority Access Problems,03/13/2018,DH,"For the last 2 1/2 months I been told the new 670G was being shipped to me that week and as today its no where in site! Dealing with Medtronic's is like dealing with a use car lot to honor a warranty it provided. I have heard every excuse and reason why its not here to me. Then you read a statement by the company that all Priority access customers will have their new pumps by the last week in February to add insult to injury.
Sorry, letting off stream about them but, I was wondering anyone else is going thru this problem with them. The local Medtronic's trainer has done everything he could to find out when it will be ship but no luck. My Doctor has offer to call the company to find out what is their problem but I told him to wait until my next appointment if I haven't received it by then. I have been told all Priority Access customers will get their pump before new orders get theirs....which is hard to believe.
Let me know if you or someone you know is going through the same problem.

DH","I got my 630 in February, 2017 and started calling for availability on the 670 upgrade the following September. And called semi monthly thereafter. In November, I was told that production problems following the hurricane in Puerto Rico were holding up the upgrade orders. In late November, I was told that all priority upgrade back orders would be shipped by year end. I finally got mine In early February 2018.","Thanks Don
I wouldn't mine waiting so much if they said the truth about the delays. To me that is not a good way to keep customers. The FDA and Medicare, and other companies are coming out with products that do the same and most likely a little better. The government is moving faster than ever on new drugs and equipment for diabetes than ever. In the mean time I will wait for the pump or until something better comes out.
PS Don what town at the shore you live in. I grew up in Sea Girt.",,03/14/2018,1,12,Negative,"{'neg': 0.082, 'neu': 0.865, 'pos': 0.052, 'compound': -0.8793}",0.007869884575026232,-0.8793,-0.9332,-0.4019,0.8194,0.0,0.007984031936127744,0.012165450121654502,0.006122448979591836,0.0,1906
28,We have a gusher!,03/13/2018,bradpollina,"Today while at work my 630g ran out of insulin. I disconnected like always and pulled the thingy off my stomach like I always do. Only this time when I did, blood started to spurt and ran onto the floor, my leg and part of my desk!

I grabbed some napkins and 3 filled up and then just stopped out of nowhere, and now I can't even find out which red spot was today's spot! Sugars have been fine all day like nothing happened.

My wife said I should notify work as all I did was wipe it up but did not disinfect anything. My boss notified the building people but so far no one has done anything.

Anything I need to be concerned about? I know I'm not infected with anything, but they don't necessarily know that!","When I pull those things out I always keep a piece of paper towel in my
other hand JUST IN CASE!","This is the first time this has ever happened to me. Maybe I pulled too hard/quick?

Do I need to be concerned if I can't see any of the blood any more on the floor /desk? Would a lysol wipe help? I share desks, so don't want to endanger anyone.","Sometimes in putting those things in, small blood vessels get pierced or broken. Then pulling out the infusion set pulls the cork. I'm not sure you can doing or not doing this every time, but occasionally it happens. So don't assume that it won't happen.

As far as cleanup goes, if it happened at work, mop up what you can and then let the janitorial staff cleanup the rest. I'm not sure what else you can do. Rinsing you clothes in cold water will help get the blood out- that's all I know. And to always be prepared with a paper towel.

Sometimes if you get a really ugly one of these bleeders it'll back fill the tubing with blood. That's kind of awkward looking.",03/16/2018,3,20,Positive,"{'neg': 0.066, 'neu': 0.85, 'pos': 0.084, 'compound': 0.7259}",0.015125072716695753,0.7259,0.6486,0.5411,0.6046,-0.7433,0.02250351617440225,0.03125,0.0163265306122449,0.004497751124437781,1719
29,Stardate: _______,03-12-2018,PeterPumper,"I just need to live to see the days of Star Trek. I will be a much happier individual then, because.....

A) It's set a few hundred years from now. So surely they'll have a cure for T1 by then, right? (A few hundred is more than five, right?)

B) Even if they haven't cured T1, they seem to have eliminated door knobs, with those fancy magic auto-sliding doors they like so much.

Never mind the Klingons, or the Romulins, or even the Cardasians from TNG. Enemy #1 of the United Federation of Insulin Pumpers is Door Knobs!!!!!!!

(gotta change my set now. thanks for watching. )",No fear of end stage renal failure and dialysis.,"And Retnox to remove the need for glasses.

-Lloyd","As long as you aren't allergic to Retnox, that is...",03/15/2018,3,18,Positive,"{'neg': 0.068, 'neu': 0.807, 'pos': 0.125, 'compound': 0.8025}",0.0054869684499314125,0.8025,0.9156,-0.8271,0.0,0.2235,0.0069084628670120895,0.0,0.0,0.0,729
30,Is this true?,02/28/2018,artsy8585,"I've been looking at the Animas Ping pumps for a while, and noticed that some people are having the outer plastic crack on them. I thought that these were pretty stable pumps, but are they liable to crack easily? Thanks :)","Wish I could help I heard some crack
not this model.","Well, Animas is not selling in the US any longer. The last remaining market for them is Australia, and that exit has also been announced. So if you are looking for a new pump, Animas really is not an option. Tennessee included.

Sorry but you're going to have to consider something else.","I have been on the Animas pumps for 11 years now and I love these pumps. My first one was the Animas ping and loved the feature of being able to test my blood sugars than able to dose right from the meter. But when they came out with the Vibe that got my attention where now I can wear a Dexcom CGM and have all my bg trends live right to my pump this was huge for me. It made me pay a lot more attention to my bg levels. Only problem I had my screen was starting to get blurry not so clear to read. I called Animas and they said we will send you out a new pump. I think I received in two days great service. I work in construction I carry it in a phone case on my belt to me this pump is rugged very tough pump. But I'm like you all now thinking why are they not making them for USA anymore it really su*ks. I will be forced to look for a new pump when the time comes and i'm not happy about it. I hope something will come to the market for us that will be a great, rugged pump for us guys and girls that are in hard working conditions getting our clothes dirty whether crawling under our trucks to change our own oil or working on a commercial boiler cleaning all that soot out of it etc. The dirty jobs we get stuck with to pay our bills lol. Have a Great Day All Hope I was able to help/make you laugh. Oh and laughing is good for your Blood Sugars.",03-01-2018,1,6,Positive,"{'neg': 0.08, 'neu': 0.753, 'pos': 0.167, 'compound': 0.9932}",0.01671891327063741,0.9932,0.928,0.6597,0.1027,0.9781,0.009009009009009009,0.038461538461538464,0.0,0.020694752402069475,1914
31,Setting basal tricky?,02-10-2018,CalgaryDiabetic,"A least in theory you should be able to set your basal so you stay in the normal range 70 to 110 between meals. Well I set mine at somewhere close to 3 units/hr and sometimes I go low and most of the time above 130. Since 130 to 150 is a lot less unpleasant than low I leave it at that and correct a bit. after correction I go low sometimes. I am not sure what changes from day to day I know food: composition and CALORIES do matter, sleep, exercise all have effects and God only knows what else: for instance gum infection. when I started pumping I did better with an average of 7 mmol/L i.e. 125 and with a variance that was only that you would expect from the meter. When I first got the pump I may have been more more careful about food and eating a bit less calories.

This would be the ideal application for closed loop control. My pump does not allow for that. Will be entitled to exchange it for medtronics 630 (when the Animas supplies are no longer available)which I think doesn't do that. Maybe for more money I could get more advanced medtronics with some feedback control.

What do you pump magicians think ?","CD I hear you loud and clear. My basal challenges occur during the night. Even though my 640G (& maybe the 603?) isn't closed loop, at least it does suspend basal if approaching a low. As lows are my main problem, I love this feature.

I now have my night time basal set to 0.5. With my old Veo some days I would wake up perfect and other I'd wake with a nasty hypo. I'd often have to make a judgement call before going to bed as to whether I'd have to drop it to 0.45 or even lower, depending upon how the day had been panning out.

Now with my 640G I wake up refreshed & rested and can often see that my basal got suspended & then restarted while I slept on blissfully unaware.","CD, how many basal rates do you have? I had 3. My highest was from midnight to 6 am, lowest from 6 am to 11 am and then the mid range one from 11 am to midnight. But my insulin sensitivity was pretty stable. What were the results of your basal testing and do you think it's time to do a it more testing? I hated checking the overnight levels getting up every hour or two. Skipping meals for half the day was less of a deal for me to figure out my daytime rates.

Cora","Thank you Caraline, this is good to know that basal is very touchy, same with me but at a 6 times rate a 10% change in basal has massive effect. suspend and restart is a great feature one can then be much more aggressive with basal without waking up because of a nasty low. So 640 G. I am not sure our health care covers CGM sensors and tax deduction for medical supplies is next to useless. I will ask medtronics what they charge for CGM sensors and what the capital cost is also.

After 20 years with less than perfect BG control I have not had any complications so maybe I am not that susceptible. I know the logic of that is imperfect.",02-12-2018,2,19,Negative,"{'neg': 0.098, 'neu': 0.822, 'pos': 0.081, 'compound': -0.6118}",0.015485203028217482,-0.6118,0.4641,-0.7845,-0.3133,-0.3919,0.014272970561998216,0.025036818851251842,0.01284796573875803,0.009389671361502348,2906
32,Bolus wizard,02/17/2018,bradpollina,"So I went back to my CDE Thursday and as promised, she went over all the menus of the 630G pump.

We turned on the BOLUS wizard, and she said it is a work in progress and that I can call any time for adjustments.
Based upon my Dexcom #s, she set it at Carb ratio of 5, ISF 15 and 100-120 low high and active insulin time at 4 hours. My current basal is 2 units per hour.

For carbs, I'm using One Drop's food library to calculate carbs (my choice. I actually love it!).

Do you recommend that I test via finger stick to put in the BG level at each meal, or should I just leave that blank? She said if I put a BG level in there, it would take my current level into account and adjust accordingly so I don't go too high or low.

For now she wants me to work on consistency and not going low and to use the wizard as much as I can.

So far I've been doing ok staying around 140 but occasionally it goes a bit high. I go back in about 4 weeks.

We also covered the waves, and she said square was for extended boluses over time like for Pizza and that the dual wave was 2 separate boluses split up over

I'm also on Bydurion BCISE weekly. Having fun on the prior authorization merry go round but once that's approved, it wont cost me anything (nor will my insulin and all diabetic products btw so long as I stay on the preferred list like Humalog vs Novolog anyway).

I also asked about type 1.5 vs 2 and was told that so long as I'm still producing ANY insulin that I would be a type 2. But she did say that if I ever became a type 1 I could still continue my Bcise because it helps with both 1 and 2 so not a whole lot would change for me.",Not sure I agree at all with he definition 1.5 even some type 1 produce some insulin.,"Oh, I'm sure I disagree with the CDE.

As T1 is an Auto-immune disorder, whether sudden, or slow onset, and T2 is not AI, one does not go from T2 to T1, period.

Not to beat a dead horse, but I really believe you should not just ""let this go"", because, moving forward, the difference between a proper T1 diagnosis and not can have a major impact with various insurance coverages, especially eventual Medicare. And if you think it's difficult to get the proper classification now, it certainly will only be more difficult as time goes by.","As far as testing before using the Wizard, yes, the Wizard works best if you can enter your current Bg. When you do, it can build a correction (positive or negative, depending on if you are above or below your target range) into the calculations.

Also, your 630G should have come with a Next Link meter. This is where the radio link of the Next Link is so nice. It just sends the Bg value right to the pump, right into the Wizard. Yes, it's just a matter of saving a few seconds, but time savers like that sure encourage actually testing each time.

When you don't test, the Wizard leaves the Correction portion out. In essence, it assumes your Bg is right where you want it, and calculates, as best it can, to return your Bg right to where it is at the moment, PP. In essence, you've just skipped an opportunity to correct.",02/21/2018,4,13,Positive,"{'neg': 0.038, 'neu': 0.814, 'pos': 0.148, 'compound': 0.9971}",0.010379500486539085,0.9971,0.9831,-0.4717,-0.4903,0.981,0.01650366748166259,0.011764705882352941,0.0074487895716946,0.0,3083
33,Where does one stick the CGM sensor?,03/16/2018,bradpollina,"This seems to be a problem: https://www.diabetesdaily.com/blog/why-doesnt-dexcom-talk-about-compression-lows-545990/


Can the sensor be stuck in the stomach area ?","Actually, the abdomen is the recommended placement for the Medtronic CGM's (Enlite/Guardian 3).","	""That is good news. I am changing my opinion on the usefulness of CGM in my case since they seem to be getting more accurate and could be good for slight adjustments of basal at night to permit normal BG without lows that often. I am not sure I will be able to ever set basal correctly in an open loop situations there are too many intangible variables. The same for food many times I wait 1 hour see what the BG is and then inject. Measure at 2 hours and inject more if need be.

PS: Sorry for posting this I should have realized that the author was bizzare. I would never put an infusion set in my arm as it would be guarantied to be pulled out in my periodic flip overs at night. Being a pumping newbie I wonder if there was some need for sensor to be there.""																					",,03/17/2018,1,12,Positive,"{'neg': 0.044, 'neu': 0.893, 'pos': 0.063, 'compound': 0.5315}",0.011472275334608031,0.5315,-0.5719,0.2023,0.7453,0.0,0.0,0.0,0.015306122448979591,0.0,1046
34,Scary low today...suggestions?,,bradpollina,"Almost wound up in the hospital today.

Had to change my Dexcom, so at my first meal, which was a 1/2 piece of chicken breast and 1/2 cup of peas in a pod, I bolused 25 units in my 630G pump and didn't check my BS before eating. Bad idea!

I went way low, like 55, and my vision went wonky and I got all shakey. I've never been this low before!

Doc aid to take 3 glucose tabs. I added a single serving of OJ out of the vending machine, and it took forever (almost an hour) to even get into the 60's. Now I""m over 200.

I am SO TIRED of riding this roller coaster!

I go in Thurday for pump training, and we're turning on the bolus wizard.

I'm so worried we're going to get something wrong, and I'm scared.

ANy advice would be appreciated.,

Also, my MD's nurse said to keep protein handy when this happens as well so it doesn't spike as bad. Any recommendations as to what to buy to keep at my desk?",,"Oh yeah I never ever bolus off of my CGM. I always use my BG meter.

Don't be worried about your pump training. It will be great and will help you manage your blood glucose. The bolus wizard is awesome.

I can not state loudly enough though, DON'T BOLUS ON CGM. :D

It might be very accurate most of the time but when they go south (or north as the case may be) they go there at lightning speed.",,01-03-1900,4,7,Positive,"{'neg': 0.061, 'neu': 0.868, 'pos': 0.071, 'compound': 0.3862}",0.01841903300076746,0.3862,-0.9281,0.0,0.8594,0.0,0.02106430155210643,0.0,0.012658227848101266,0.0,1303
35,Transferring insulin from pen to vial.,01/26/2008,,"I bought five insulin pens right before I went on the pump b/c the timing was bad. Is it possible to inject an empty insulin vial with the insulin from the pen? Then, I can use the insulin from the vial.

It sounds like it might work. Does anyone see a problem here?","The only issue will be that u might need to equalize the pressure in the vial by withdrawing some air, periodically as u fill it. otherwise, it's a no brainer.","Can't you draw and inject from the penfill? As long as you're not pushing it down, I don't see a problem.

Ohh, pump, never mind. I think if you're going to add it to a used vial, it might expire at the same time as the insulin originally in the vial.","Transfered insulin would be good for 30 days, refrigerated or not, because it is now considered OPENED. Never-opened, refrigerated vials are good up to the expiration date, as labeled by the mfgr. Having said that, in practical terms, insulin lasts longer than 30 days in the fridge after being opened! :)",01/28/2008,2,6,Negative,"{'neg': 0.085, 'neu': 0.855, 'pos': 0.06, 'compound': -0.5621}",0.0061162079510703364,-0.5621,-0.7059,-0.5267,0.3089,0.8439,0.011278195488721804,0.0,0.01195219123505976,0.0,981
36,630g reservoir mess!,02-11-2018,bradpollina,"I just found out that my work's UHC insurance covers all diabetic medicine and supplies through Express Scripts.

I used to get my pump supplies through Edgepark, but had a 20% copay and $600 yearly overall deductible.

My new endo had no clue what to order, so I was told to take my supplies to CVS and show them so they could fax the MD for the correct supply order.

They did and they got everything done great except for the reservoirs! CVS says they can only go by the description, and they got the wrong ones and refuse to find the correct ones.

I called medtronic, and was told to give them the MM #. That didn't work. I called Express Scripts themselves, and they found it no problem but confirmed that only CVS can get them for me, I can't even do mail order. They gave me an 800# to a help desk for pharmacists, but when CVS called that #, they were no help either.

I'm pulling my hair out at this point! Any suggestions? I'm about to give up and let Edgepark order just these.",Brad I been there before not with a pump but insulin. Some way this will be fixed.,What a nightmare. Sorry I can't help as I am in Australia and our health system is very different. Just wanted to register commiserations.,Do you guys think if I track down the trainer who originally trained me they might be able to help? Unsure where to even start. Everyone is pointing the finger and CVS is getting frustrated at me and not wanting to help even though express scripts said only THEY can get it if I want to use my major medical (FREE) vs DME (deductible and copay).,02/15/2018,4,12,Negative,"{'neg': 0.09, 'neu': 0.831, 'pos': 0.079, 'compound': -0.3703}",0.01287001287001287,-0.3703,-0.6941,0.0,-0.3732,0.0772,0.01314459049544995,0.012195121951219513,0.014492753623188406,0.011594202898550725,1554
47,Omnipod vs tslim,04-12-2021,mal72,"Just curious. I am currently using the t slim pump and am getting ready to do a trial run on the Omnipod as the summer months approach. wanted to get some feedback from the Omnipod users as to why you like it or don't. My Dr. said its up to me but she really likes having the closed loop system. When I asked the rep about that, I was told they are working on that. Thought?","I'm afraid I am not familiar with them. I have Medtronic. I think of changing a lot, but after reading about issues with all types, I've decided to wait it out a little longer. I hope someone responds here. Have you checked out You tube videos? I used to go there to find candid commentaries on various brands and models from regular diabetics who use the product.","i Love my Omnipod. The closed loop system is coming to Omnipod, I was told 2 years ago that it should be out in 2021 (that info was before Covid). I know people on a tubed pumps and saw one snag his tube on a door handle... ouch. My biggest problem with the Omnipod is it only holds 200 IU. I think it does all the standard stuff basal, Bolas, temp Basal, split bolas... The other thing is, you can set a time for ""suspend insulin delivery"" However at the end of the programmed suspend time the pump does NOT start delivering insulin, it only alarms to tell you to manually restart the pump. If you wont the pump to automatically restart insulin you need to set a temp basal time with the basal set to 0.0.","I've used both! Both have great customer support and are decent pumps. I'm currently using the tslim I love the variety of infusion sets available which with omnipod there's only one! The low suspend feature on tslim works good and helps to stop them omnipod doesn't offer that either. My cgm is on the pump so its always there. I hear how bad tubing is blah,blah,blah but in 3 years of use I've tore out one just one! By comparison I knocked 10 off in the 4 years I used it! They act like the tube is a 25 foot garden hose! Its not! Bottom line is its your choice you need to make a good decision for you!",04/13/2021,1,15,Positive,"{'neg': 0.06, 'neu': 0.823, 'pos': 0.117, 'compound': 0.9802}",0.014634146341463415,0.9802,0.8068,0.5319,-0.4939,0.918,0.0106951871657754,0.02197802197802198,0.0113314447592068,0.0165016501650165,2050
48,New MIO Infusion Sets from MM,03/27/2010,richyboy58,Has anyone had a chance to try the new MIO infusion sets with the self inserter which appears to be a copy of the 50/50 version if I'm not mistaken?,I plan on ordering a box next month when I'm due for supplies. They look a lot like the Animas Inset. I had many problems with Quick-Sets and I'm a little nervous about trying another 90 degree teflon set but I'll order one box and see how it goes. The fact that they come in a couple of colors helps!,"For what I'm using now, if its not broken I'm not ""fixing"" it  Although green would be nice on Saint Patty's Day!","Sorry, pink or blue only! And clear, but that's not exactly a color.",03/30/2010,3,4,Positive,"{'neg': 0.026, 'neu': 0.857, 'pos': 0.117, 'compound': 0.9063}",0.012698412698412698,0.9063,0.4784,0.492,0.6854,0.2363,0.006756756756756757,0.016611295681063124,0.017699115044247787,0.0,630
49,Starting with Omnipod,02/25/2021,songdog,"I have the pods and the startup kit and will have a Zoom training with an educator on Monday morning. Significant cost in the copay on these pods. If they don't radically reduce my lows and at least approach a wash in costs since I won't be taking Tresiba, I may not continue. Any tips or pointers? At this point I don't need to hear about some other pump you use. Thanks!!","To keep my blood sugar from doing really ugly swings high and low, I just eat less. I cut carbs almost down to nothing. Carbs are what require insulin. I didn’t do this overnight. It’s just something that I learned.",Wear in a consistent place ie. The stomach or arm gets it set up where you have good predictable absorption. I'd read the book sugar surfing by Dr. Ponder. Avoid static electricity as it causes the pod to quit!,"If/when you get a pod error, call the company - many times they will send a replacement pod at no cost.",02/26/2021,1,17,Negative,"{'neg': 0.103, 'neu': 0.869, 'pos': 0.028, 'compound': -0.8904}",0.01220865704772475,-0.8904,0.5399,-0.7579,0.2481,-0.5994,0.013404825737265416,0.023255813953488372,0.004761904761904762,0.0,901
50,Medtronic 670 G self destructs,03/25/2021,don1942,"I was recently released from the hospital after 12 days trying to reverse my colitis. The hospital had strict rules against self medication and forced me to stop using my pump. However, I continued to keep the Guardian 3 CGM working. Thank god for that because I was able to correct excessive highs and lows I experienced under their Lantus/humolog protocol. When I returned home, I restarted auto mode and after the first day, the micro Bolus process seemed to be dysfunctional. I called Medtronic and was advised the shut down had ”scrambled” the auto mode algorithm and I needed a new replacement pump.. When I questioned why, the rep had no idea.",Glad to hear you’re home and feeling better. I’ve been using a pump for over 20 years and never turned one off. Wasn’t your pump left on to read the CGM numbers? Is pump still under warranty?,The pump was left on to receive the sensor information. I should have said I removed the reservoir and pushed suspend delivery (which I now found out is only temporary.),"When I first received my 670G pump a couple years ago, I wanted to keep running running 530G for a while to compare the Enlite sensor to the Guardian3. So I went into my 530G and created a new basal profile, with all 0.00 basal rates 24/7. Even better than ""Suspend"", as no beeps or reminders or alarms. You may want to try this next time.",03/27/2021,2,12,Negative,"{'neg': 0.073, 'neu': 0.863, 'pos': 0.063, 'compound': -0.3313}",0.01630837657524092,-0.3313,-0.6124,0.7757,-0.3182,0.2263,0.016923076923076923,0.010471204188481676,0.01775147928994083,0.017699115044247787,1349
51,Changed pumps,07/29/2020,Jtstuart,Just switched from minimed to a tslim been on it a week. I like the touch screen but control iq may not be for me. Im used to BG that avg 100 and control iq just not that good yet. Ill give it another week but i think im going back to manual. My last A1c without control iq was 5.9 so im not sure its going to help me.,I use tslim also but just the low iq never upgraded to the control iq. I feel I'm a better algorithm. Fyi I think once you have control iq your stuck with it can't be shut off I think!,"So I've read the book sugar surfing by dr ponder and have seen his presentation at friends for life conference, that's what I follow. I use one basal rate and monitor by throughout the day adjusting as needed. I'm not perfect by any means but typically i stay in the 80-135 range with a 6%+/- a1c. It's what a algorithm system does but i do it ( and I think just as good or better!) Instead of a computer.","I left auto mode on my minimed and am sticking with manual for now. I was wondering how it might be different with Tslim. Are there any other differences that you have noticed since your switch? I've considered doing the same for a while now, but, keep staying put. Lots going on......it's a hassle, etc.",07/31/2020,2,7,Negative,"{'neg': 0.091, 'neu': 0.846, 'pos': 0.063, 'compound': -0.7898}",0.018992568125516102,-0.7898,-0.6539,0.2942,0.6361,0.0,0.012578616352201259,0.03804347826086957,0.019753086419753086,0.013157894736842105,1211
52,My Tslim X2 warranty expires in December,01/25/2021,Crashandburn,"I am looking at other pump options, the t:slim is nice but I don't like the fact it wastes quite a bit of insulin and it also has a flimsy port cover for the usb port, other then that it is a good pump and I like having a graph and appreciate all the information it gives me. But I don't really use CGM even though I likely should because I want to save my space for my pump insertions and a CGM would only reduce that and plus CGM is way too expensive even with insurance. I am hypo unaware and have gastroparesis and dawn phenomenon so I am putting a lot of thought into what I would like to get for my next pump. Any insight with medtronic or other companies would be awesome.","Well, if you won't use a CGM, then NO pump will help with the hypo unawareness.
And without a CGM, as far as Mdtronic, you're talking about a 630G, because anything beyond that is all about the CGM and Auto mode. In fact, if you can get your hands on a cheap second-hand older Medtronic pump, that would work, too (assuming you can get someone to support it enough to at least write scripts for the supplies).",I cannot afford CGM the cost of it compared to pump supplies is at least double even with insurance. Not to mention it uses up space i would rather save for my pump infusions.,"Just for the sake of discussion: If I were dealing with hypo-unawareness (to a further degree than I already do), and I had limited resources, I would spend my money on the CGM (be it Medtronic or Dexcom or even Libre 2) an go back to MDI.",01/29/2021,4,8,Positive,"{'neg': 0.056, 'neu': 0.855, 'pos': 0.09, 'compound': 0.9002}",0.013315579227696404,0.9002,0.9101,0.5525,0.4939,-0.2263,0.017673048600883652,0.0,0.017142857142857144,0.02092050209205021,1502
53,Anyone on Tresiba?,11/25/2020,DGIrl,"I went to my PCP about my blood sugars and she wants me to try Tresiba instead of Levemir. Has anyone made this transition? Did it help you out much? I have gained 12 pounds since being on insulin for a few months!!!! I am eating low carb less than 50 on most days, less than 30 on some. I have never gained 10 pounds in even a year!!! I am hoping this will help me. I think the short acting insulin is what is causing the weight gain. I used to be vegetarian, so I like my carbs. Getting down to this much is a huge effort for me.",Wonder if any of these conversations would help while you are waiting for responses?,"You can put on weight even with 50g of carb a day. As well as carbs, you need to watch your protein for weight gain. For a female on low carb, they say 1.25-1.5 g per kg of lean body weight. Or about 75g of protein a day for most females and min 50g. You may need to square wave or split bolus, up to 50% of what a carb ratio would be. Fats aren't so limiting and use what you need for the calories. You posted in the pump forum, so I assume you are late onset T1. T2 bolus would be more relaxed and the basal and natural output may cover most of the protein and fats.","I’ve had T1 and been injecting insulin for 46 years. I’ve used many different basal insulins: NPH, Lantus, Levemir and now Tresiba. None of them have caused me to gain weight. I eat less carb than the average American, but far more carb than most of the people posting in this forum; fruit, bread, rice, pasta and all vegetables are part of my diet.",11/27/2020,2,3,Positive,"{'neg': 0.01, 'neu': 0.895, 'pos': 0.095, 'compound': 0.9616}",0.012402088772845953,0.9616,0.9673,0.4019,0.8553,0.296,0.022598870056497175,0.0,0.0035211267605633804,0.014326647564469915,1532
54,Pumps and MediCare,10/13/2018,1986,"Im on the OmniPod, Im about to go on MediCare Question is what ins Co. cover pumps?","Ii never tried, first thing is Monday and talk to them think you will need to prove necessity.","Medicare itself covers pumps as do most of the supplementary insurance carrieriers, but not the CGMS.","So all the ins Co ive talked to say""you just need to get pre approved"" well That means they can Pre denie you. I found out the hard way. I had an ins Co denie me getting insulin pens. I had to go back to Syringe and vile for a year before I could switch Ins Co.",10/16/2018,3,13,Neutral,"{'neg': 0.066, 'neu': 0.876, 'pos': 0.058, 'compound': -0.2263}",0.00927643784786642,-0.2263,0.0,0.0,0.0,-0.1531,0.0,0.010638297872340425,0.0,0.01532567049808429,539
